ticker,stock_name,isin_code,market_type
051490.KQ,나라엠앤디,KR7051490001,KOSDAQ
137080.KQ,나래나노텍,KR7137080008,KOSDAQ
190510.KQ,나무가,KR7190510008,KOSDAQ
242040.KQ,나무기술,KR7242040004,KOSDAQ
459510.KQ,나우로보틱스,KR7459510004,KOSDAQ
293580.KQ,나우IB,KR7293580007,KOSDAQ
138610.KQ,나이벡,KR7138610001,KOSDAQ
130580.KQ,나이스디앤비,KR7130580004,KOSDAQ
036800.KQ,나이스정보통신,KR7036800001,KOSDAQ
030190.KS,NICE평가정보,KR7030190003,KOSPI
267320.KQ,나인테크,KR7267320000,KOSDAQ
001260.KS,남광토건,KR7001260009,KOSPI
008355.KS,남선알미우,KR7008351009,KOSPI
008350.KS,남선알미늄,KR7008350001,KOSPI
004270.KS,남성,KR7004270005,KOSPI
003925.KS,남양유업우,KR7003921004,KOSPI
003920.KS,남양유업,KR7003920006,KOSPI
025860.KS,남해화학,KR7025860008,KOSPI
111710.KQ,남화산업,KR7111710000,KOSDAQ
091590.KQ,남화토건,KR7091590000,KOSDAQ
168330.KQ,내츄럴엔도텍,KR7168330009,KOSDAQ
094860.KQ,네오리진,KR7094860004,KOSDAQ
253590.KQ,네오셈,KR7253590004,KOSDAQ
212560.KQ,네오오토,KR7212560007,KOSDAQ
095660.KQ,네오위즈,KR7095660007,KOSDAQ
042420.KQ,네오위즈홀딩스,KR7042420000,KOSDAQ
950220.KQ,네오이뮨텍,KR8840140006,KOSDAQ
311390.KQ,네오크레마,KR7311390009,KOSDAQ
085910.KQ,네오티스,KR7085910008,KOSDAQ
092730.KQ,네오팜,KR7092730001,KOSDAQ
290660.KQ,네오펙트,KR7290660000,KOSDAQ
306620.KQ,네온테크,KR7306620006,KOSDAQ
153460.KQ,네이블,KR7153460001,KOSDAQ
007390.KQ,네이처셀,KR7007390008,KOSDAQ
033640.KQ,네패스,KR7033640004,KOSDAQ
330860.KQ,네패스아크,KR7330860008,KOSDAQ
351320.KQ,넥사다이내믹스,KR7351320007,KOSDAQ
005725.KS,넥센우,KR7005721006,KOSPI
005720.KS,넥센,KR7005720008,KOSPI
002355.KS,넥센타이어1우B,KR7002351005,KOSPI
002350.KS,넥센타이어,KR7002350007,KOSPI
089140.KQ,넥스턴바이오,KR7089140008,KOSDAQ
389650.KQ,넥스트바이오메디컬,KR7389650003,KOSDAQ
137940.KQ,넥스트아이,KR7137940003,KOSDAQ
160550.KQ,NEW,KR7160550000,KOSDAQ
396270.KQ,넥스트칩,KR7396270001,KOSDAQ
092790.KS,넥스틸,KR7092790005,KOSPI
225570.KQ,넥슨게임즈,KR7225570001,KOSDAQ
205500.KQ,넥써쓰,KR7205500002,KOSDAQ
217270.KQ,넵튠,KR7217270008,KOSDAQ
251270.KS,넷마블,KR7251270005,KOSPI
104620.KQ,노랑풍선,KR7104620000,KOSDAQ
090355.KS,노루페인트우,KR7090351008,KOSPI
090350.KS,노루페인트,KR7090350000,KOSPI
000325.KS,노루홀딩스우,KR7000321000,KOSPI
000320.KS,노루홀딩스,KR7000320002,KOSPI
473980.KQ,노머스,KR7473980001,KOSDAQ
194700.KQ,노바렉스,KR7194700001,KOSDAQ
285490.KQ,노바텍,KR7285490009,KOSDAQ
145170.KQ,노브랜드,KR7145170007,KOSDAQ
106520.KQ,노블엠앤비,KR7106520000,KOSDAQ
376930.KQ,노을,KR7376930004,KOSDAQ
006280.KS,녹십자,KR7006280002,KOSPI
142280.KQ,녹십자엠에스,KR7142280007,KOSDAQ
234690.KQ,녹십자웰빙,KR7234690006,KOSDAQ
005257.KS,녹십자홀딩스2우,KR7005252002,KOSPI
005250.KS,녹십자홀딩스,KR7005250006,KOSPI
004370.KS,농심,KR7004370003,KOSPI
072710.KS,농심홀딩스,KR7072710007,KOSPI
154030.KQ,아시아종묘,KR7154030001,KOSDAQ
054050.KQ,농우바이오,KR7054050000,KOSDAQ
403490.KQ,우듬지팜,KR7403490006,KOSDAQ
069140.KQ,누리플랜,KR7069140002,KOSDAQ
040160.KQ,누리플렉스,KR7040160004,KOSDAQ
332290.KQ,누보,KR7332290006,KOSDAQ
348340.KQ,뉴로메카,KR7348340001,KOSDAQ
380550.KQ,뉴로핏,KR7380550004,KOSDAQ
060260.KQ,뉴보텍,KR7060260007,KOSDAQ
463020.KQ,뉴엔AI,KR7463020008,KOSDAQ
123840.KQ,뉴온,KR7123840001,KOSDAQ
012340.KQ,뉴인텍,KR7012340006,KOSDAQ
462310.KQ,뉴키즈온,KR7462310004,KOSDAQ
270870.KQ,뉴트리,KR7270870009,KOSDAQ
144960.KQ,뉴파워프라즈마,KR7144960002,KOSDAQ
085670.KQ,뉴프렉스,KR7085670008,KOSDAQ
064260.KQ,다날,KR7064260003,KOSDAQ
340360.KQ,다보링크,KR7340360007,KOSDAQ
039560.KQ,다산네트웍스,KR7039560008,KOSDAQ
154040.KQ,다산솔루에타,KR7154040000,KOSDAQ
058730.KS,다스코,KR7058730003,KOSPI
030210.KS,다올투자증권,KR7030210009,KOSPI
023590.KS,다우기술,KR7023590003,KOSPI
032190.KQ,다우데이타,KR7032190001,KOSDAQ
323350.KQ,다원넥스뷰,KR7323350009,KOSDAQ
068240.KQ,다원시스,KR7068240001,KOSDAQ
145210.KS,다이나믹디자인,KR7145210001,KOSPI
483650.KS,달바글로벌,KR7483650008,KOSPI
464580.KQ,닷밀,KR7464580000,KOSDAQ
019680.KS,대교,KR7019680008,KOSPI
019685.KS,대교우B,KR7019681006,KOSPI
006370.KS,대구백화점,KR7006370001,KOSPI
008060.KS,대덕,KR7008060006,KOSPI
353200.KS,대덕전자,KR7353200009,KOSPI
020400.KQ,대동금속,KR7020400008,KOSDAQ
008830.KQ,대동기어,KR7008830002,KOSDAQ
000490.KS,대동,KR7000490003,KOSPI
048470.KQ,대동스틸,KR7048470009,KOSDAQ
008110.KS,대동전자,KR7008110009,KOSPI
004780.KQ,대륙제관,KR7004780003,KOSDAQ
005750.KS,대림바스,KR7005750005,KOSPI
017650.KQ,대림제지,KR7017650003,KOSDAQ
006570.KS,대림통상,KR7006570006,KOSPI
389260.KQ,대명에너지,KR7389260001,KOSDAQ
317850.KQ,대모,KR7317850006,KOSDAQ
290670.KQ,대보마그네틱,KR7290670009,KOSDAQ
078140.KQ,대봉엘에스,KR7078140001,KOSDAQ
065150.KQ,대산F&B,KR7065150005,KOSDAQ
001685.KS,대상우,KR7001681006,KOSPI
001680.KS,대상,KR7001680008,KOSPI
084695.KS,대상홀딩스우,KR7084691005,KOSPI
084690.KS,대상홀딩스,KR7084690007,KOSPI
036480.KQ,대성미생물,KR7036480002,KOSDAQ
128820.KS,대성산업,KR7128820008,KOSPI
117580.KS,대성에너지,KR7117580001,KOSPI
027830.KQ,대성창투,KR7027830009,KOSDAQ
104040.KQ,대성파인텍,KR7104040001,KOSDAQ
129920.KQ,대성하이텍,KR7129920005,KOSDAQ
016710.KS,대성홀딩스,KR7016710006,KOSPI
457630.KQ,대신밸런스제16호스팩,KR7457630002,KOSDAQ
471050.KQ,대신밸런스제17호스팩,KR7471050005,KOSDAQ
478780.KQ,대신밸런스제18호스팩,KR7478780000,KOSDAQ
482690.KQ,대신밸런스제19호스팩,KR7482690005,KOSDAQ
020180.KQ,대신정보통신,KR7020180006,KOSDAQ
003545.KS,대신증권우,KR7003541000,KOSPI
003547.KS,대신증권2우B,KR7003542008,KOSPI
003540.KS,대신증권,KR7003540002,KOSPI
045390.KQ,대아티아이,KR7045390002,KOSDAQ
009190.KS,대양금속,KR7009190000,KOSPI
108380.KQ,대양전기공업,KR7108380007,KOSDAQ
014160.KS,대영포장,KR7014160006,KOSPI
047040.KS,대우건설,KR7047040001,KOSPI
003090.KS,대웅,KR7003090008,KOSPI
069620.KS,대웅제약,KR7069620003,KOSPI
007680.KQ,대원,KR7007680002,KOSDAQ
000430.KS,대원강업,KR7000430009,KOSPI
048910.KQ,대원미디어,KR7048910004,KOSDAQ
005710.KQ,대원산업,KR7005710009,KOSDAQ
006345.KS,대원전선우,KR7006341002,KOSPI
006340.KS,대원전선,KR7006340004,KOSPI
003220.KS,대원제약,KR7003220001,KOSPI
024890.KS,대원화성,KR7024890006,KOSPI
290380.KQ,대유,KR7290380005,KOSDAQ
002880.KS,대유에이텍,KR7002880003,KOSPI
120240.KQ,대정화금,KR7120240007,KOSDAQ
003310.KQ,대주산업,KR7003310000,KOSDAQ
078600.KQ,대주전자재료,KR7078600004,KOSDAQ
393970.KQ,대진첨단소재,KR7393970009,KOSDAQ
015230.KS,대창단조,KR7015230006,KOSPI
012800.KS,대창,KR7012800009,KOSPI
096350.KQ,대창솔루션,KR7096350004,KOSDAQ
140520.KQ,대창스틸,KR7140520008,KOSDAQ
131220.KQ,대한과학,KR7131220006,KOSDAQ
010170.KQ,대한광통신,KR7010170009,KOSDAQ
054670.KQ,대한뉴팜,KR7054670005,KOSDAQ
001070.KS,대한방직,KR7001070002,KOSPI
023910.KQ,대한약품,KR7023910003,KOSDAQ
006650.KS,대한유화,KR7006650006,KOSPI
001440.KS,대한전선,KR7001440007,KOSPI
084010.KS,대한제강,KR7084010008,KOSPI
001795.KS,대한제당우,KR7001791003,KOSPI
001790.KS,대한제당,KR7001790005,KOSPI
001130.KS,대한제분,KR7001130004,KOSPI
003495.KS,대한항공우,KR7003491008,KOSPI
003490.KS,대한항공,KR7003490000,KOSPI
005880.KS,대한해운,KR7005880000,KOSPI
003830.KS,대한화섬,KR7003830007,KOSPI
016090.KS,대현,KR7016090003,KOSPI
069460.KS,대호에이엘,KR7069460004,KOSPI
021040.KQ,대호특수강,KR7021040001,KOSDAQ
021045.KQ,대호특수강우,KR7021041009,KOSDAQ
067080.KQ,대화제약,KR7067080002,KOSDAQ
043090.KQ,더테크놀로지,KR7043090000,KOSDAQ
298540.KQ,더네이쳐홀딩스,KR7298540006,KOSDAQ
032860.KQ,더라미,KR7032860009,KOSDAQ
214610.KQ,더바이오메드,KR7214610008,KOSDAQ
475560.KS,더본코리아,KR7475560009,KOSPI
192080.KS,더블유게임즈,KR7192080000,KOSPI
299170.KQ,더블유에스아이,KR7299170001,KOSDAQ
089230.KQ,THE E&M,KR7089230007,KOSDAQ
012510.KS,더존비즈온,KR7012510004,KOSPI
462860.KQ,더즌,KR7462860008,KOSDAQ
224060.KQ,더코디,KR7224060004,KOSDAQ
013720.KQ,THE CUBE&,KR7013720008,KOSDAQ
317330.KQ,덕산테코피아,KR7317330009,KOSDAQ
077360.KQ,덕산하이메탈,KR7077360006,KOSDAQ
004835.KS,덕성우,KR7004831004,KOSPI
004830.KS,덕성,KR7004830006,KOSPI
090410.KQ,덕신이피씨,KR7090410002,KOSDAQ
263600.KQ,덕우전자,KR7263600009,KOSDAQ
194480.KQ,데브시스터즈,KR7194480000,KOSDAQ
373160.KQ,데이원컴퍼니,KR7373160001,KOSDAQ
263800.KQ,데이타솔루션,KR7263800005,KOSDAQ
206560.KQ,덱스터,KR7206560005,KOSDAQ
261200.KQ,덴티스,KR7261200000,KOSDAQ
